,Model,period,boundary,window_size,window_weight,window_type,normalization,encode,representation,mean,std_error
261,M262,yes,yes,2,flat,forward,log,r_cos,graph,0.0121928602074917,0.05643804649061745
262,M263,yes,yes,2,flat,forward,log,r_corr,space,0.2670885449241977,0.041556673156844685
263,M264,yes,yes,2,flat,forward,log,r_corr,graph,0.30565130151147046,0.06331475616686542
264,M265,yes,yes,2,flat,forward,log,cooc,space,0.5655152331416679,0.012766347114547823
265,M266,yes,yes,2,flat,forward,log,cooc,graph,0.7049212235286523,0.015620248278706455
266,M267,yes,yes,2,flat,forward,ppmi,distance,space,0.7317019853988556,0.009780453526168893
267,M268,yes,yes,2,flat,forward,ppmi,distance,graph,0.6275590952448831,0.020473850905496492
268,M269,yes,yes,2,flat,forward,ppmi,cos,space,0.751006744996341,0.0032220324874665364
269,M270,yes,yes,2,flat,forward,ppmi,cos,graph,0.7297874108256994,0.005058134147887203
270,M271,yes,yes,2,flat,forward,ppmi,corr,space,-0.411211733577398,0.051552018852960985
271,M272,yes,yes,2,flat,forward,ppmi,corr,graph,-0.2542083478730261,0.018360751425296272
272,M273,yes,yes,2,flat,forward,ppmi,r_distance,space,0.7434533001946428,0.011899297065840333
273,M274,yes,yes,2,flat,forward,ppmi,r_distance,graph,0.6784292897858927,0.01561525567419594
274,M275,yes,yes,2,flat,forward,ppmi,r_cos,space,0.3101303940305817,0.25101858541546096
275,M276,yes,yes,2,flat,forward,ppmi,r_cos,graph,0.2785498323426584,0.2625407396702139
276,M277,yes,yes,2,flat,forward,ppmi,r_corr,space,0.14266797184279859,0.20711807493558998
277,M278,yes,yes,2,flat,forward,ppmi,r_corr,graph,0.09052104146856299,0.29941093904934285
278,M279,yes,yes,2,flat,forward,ppmi,cooc,space,0.5750354984410772,0.0125158708124985
279,M280,yes,yes,2,flat,forward,ppmi,cooc,graph,0.7924861110411562,0.019604771198614042
280,M281,yes,yes,2,flat,forward,non,distance,space,0.7576831327666678,0.01101311580014921
281,M282,yes,yes,2,flat,forward,non,distance,graph,0.6629995987387444,0.02240982721605124
282,M283,yes,yes,2,flat,forward,non,cos,space,0.7538031593120403,0.009302759221480503
283,M284,yes,yes,2,flat,forward,non,cos,graph,0.6329083201098963,0.025742811125887444
284,M285,yes,yes,2,flat,forward,non,corr,space,0.7474545025480609,0.011346299273947941
285,M286,yes,yes,2,flat,forward,non,corr,graph,0.5553122552888086,0.03361336385268294
286,M287,yes,yes,2,flat,forward,non,r_distance,space,0.7052336850864791,0.009259068448841832
287,M288,yes,yes,2,flat,forward,non,r_distance,graph,0.6240116500803214,0.03541612944459276
288,M289,yes,yes,2,flat,forward,non,r_cos,space,0.23773375231983365,0.026182573613426224
289,M290,yes,yes,2,flat,forward,non,r_cos,graph,0.10036749981123258,0.0645581503022538
290,M291,yes,yes,2,flat,forward,non,r_corr,space,0.11142817094794658,0.2432666217638353
291,M292,yes,yes,2,flat,forward,non,r_corr,graph,-0.15843789659030508,0.30964952620024844
292,M293,yes,yes,2,flat,forward,non,cooc,space,0.6042085865718048,0.0053132130459832266
293,M294,yes,yes,2,flat,forward,non,cooc,graph,0.6783318334050751,0.01715633875783616
